time,utm_x,utm_y,utm_z,theta,wind_speed,wind_dir,drone,seconds_after_takeoff
2022-08-24 10:34:15,513593,8266222,117.83476191034579,278.1789268870973,3.0367647094726564,3.0350538711547856,drone90,495
2022-08-24 10:34:20,513594,8266324,121.23993145253144,278.0523141450512,3.02981597328186,3.0414866161346437,drone90,500
2022-08-24 10:34:25,513596,8266430,120.43629291802793,278.0524872565345,3.1561325092315675,3.0795894565582276,drone90,505
2022-08-24 10:34:30,513591,8266538,119.35743372215128,277.8305477823372,3.3354525814056393,3.1260179080963133,drone90,510
2022-08-24 10:34:35,513592,8266643,120.44380909812512,277.82723507776626,3.4333598213195806,3.1520609912872315,drone90,515
2022-08-24 10:34:40,513590,8266747,122.74862665601852,278.05875808523496,3.4771506271362305,3.1647831897735594,drone90,520
2022-08-24 10:34:45,513591,8266856,120.84343175119072,278.0566786507949,3.5990549621582035,3.1884092235565182,drone90,525
2022-08-24 10:34:50,513578,8266958,121.35231322241286,278.52305099398694,3.762182334899903,3.207794063568115,drone90,530
2022-08-24 10:34:55,513502,8266977,120.63114016052134,278.32260983509025,3.7375310573577885,3.181694520950317,drone90,535
2022-08-24 10:35:00,513414,8266973,118.43131895114388,278.3970273244555,3.539150386810303,3.147592025756836,drone90,540
2022-08-24 10:35:05,513339,8266959,120.04996110790121,278.6668307549096,3.3178574008941646,3.1062721614837647,drone90,545
2022-08-24 10:35:10,513344,8266896,122.94708065354567,278.6134326851559,3.220148307800293,3.063604209899902,drone90,550
2022-08-24 10:35:15,513349,8266828,122.8756194506808,278.6585884756236,3.26325590133667,3.0050740547180177,drone90,555
2022-08-24 10:35:20,513352,8266758,121.32912073389907,278.3480185774429,3.3145280895233156,2.9466221122741696,drone90,560
2022-08-24 10:35:25,513353,8266690,119.94323435169142,278.3207712720793,3.378749893188477,2.909419105529785,drone90,565
2022-08-24 10:35:30,513351,8266619,119.85642746295984,278.3673921767698,3.40256902885437,2.8755568618774414,drone90,570
2022-08-24 10:35:35,513350,8266550,119.397874592269,278.59456362875,3.3846247291564944,2.868578983306885,drone90,575
2022-08-24 10:35:40,513352,8266480,123.59377436187712,278.8077944924439,3.3700765972137448,2.8768984165191656,drone90,580
2022-08-24 10:35:45,513354,8266408,123.1709221299238,278.8068455761817,3.2862020797729494,2.9040983409881593,drone90,585
2022-08-24 10:35:50,513355,8266332,121.47492388035428,278.7984112371849,3.1301143207550046,2.9446772556304928,drone90,590
2022-08-24 10:35:55,513355,8266259,122.77844871573723,278.58858704237747,3.0337220649719234,2.976183961868286,drone90,595
2022-08-24 10:36:00,513354,8266189,120.01117335110985,278.5533386547188,3.0643022155761717,2.9802813129425045,drone90,600
2022-08-24 10:36:05,513356,8266118,115.99878090945408,278.3967454036913,3.131902994155884,2.975853837966919,drone90,605
2022-08-24 10:36:10,513357,8266041,118.22559328012832,278.3751155131057,3.0930233268737792,2.997669340133667,drone90,610
2022-08-24 10:36:15,513355,8265968,122.32501081479802,278.56991842213904,3.0390086879730225,2.967288080215454,drone90,615
2022-08-24 10:36:20,513360,8265891,123.34773128457232,278.7088350410497,2.9320324871310817,3.0073906437938027,drone90,620
2022-08-24 10:36:25,513359,8265806,122.95931347296269,278.5781865639967,2.802845738851107,3.137129796254329,drone90,625
2022-08-24 10:36:30,513358,8265721,125.39649569495839,278.39994598700696,2.6383738250976956,3.1870816705960494,drone90,630
2022-08-24 10:36:35,513360,8265639,124.56902826269209,278.19998306764023,2.443742924225636,3.2583548928957717,drone90,635
2022-08-24 10:36:40,513363,8265555,120.23048319880459,278.18171000251726,2.343726307630539,3.420562376328003,drone90,640
